employees_id,agent_id,employees_name,email,phone,position,employment_type
1,1,"Klein, Brian",brian.klein@dreamhomes.nyc,1954212820,Dream Homes Albany,Part-time
2,2,"Brown, Ryan",ryan.brown@dreamhomes.nyc,5824937547,Dream Homes Hartford,Contract
3,2,"Coffey, Patrick",patrick.coffey@dreamhomes.nyc,5045563763,Dream Homes Bridgeport,Part-time
4,4,"Watson, Samantha",samantha.watson@dreamhomes.nyc,8356618373,Dream Homes Albany,Contract
5,20,"Howard, Katherine",katherine.howard@dreamhomes.nyc,8630756947,Dream Homes New York,Full-time
6,8,"Adams, Ashley",ashley.adams@dreamhomes.nyc,4500947840,Dream Homes Bridgeport,Full-time
7,16,"Wood, Katelyn",katelyn.wood@dreamhomes.nyc,6767192349,Dream Homes Bridgeport,Full-time
8,6,"Perry, Cynthia",cynthia.perry@dreamhomes.nyc,5286044331,Dream Homes Hartford,Contract
9,10,"Meyer, Valerie",valerie.meyer@dreamhomes.nyc,5884091364,Dream Homes Bridgeport,Contract
10,9,"Diaz, Bianca",bianca.diaz@dreamhomes.nyc,3840061991,Dream Homes Paterson,Contract
11,8,"Gibbs, Anthony",anthony.gibbs@dreamhomes.nyc,7006241927,Dream Homes Newark,Contract
12,8,"Parker, Stephanie",stephanie.parker@dreamhomes.nyc,109738330,Dream Homes Rochester,Full-time
13,18,"Zimmerman, Melissa",melissa.zimmerman@dreamhomes.nyc,6106003094,Dream Homes Syracuse,Part-time
14,1,"Tanner, Sean",sean.tanner@dreamhomes.nyc,1755021725,Dream Homes Bridgeport,Full-time
15,16,"Bradley, Michael",michael.bradley@dreamhomes.nyc,9555118040,Dream Homes Hartford,Contract
16,1,"Cruz, Connie",connie.cruz@dreamhomes.nyc,1936398387,Dream Homes Syracuse,Part-time
17,19,"Lewis, Kara",kara.lewis@dreamhomes.nyc,9458757716,Dream Homes Syracuse,Part-time
18,5,"Romero, Diane",diane.romero@dreamhomes.nyc,7953726864,Dream Homes Trenton,Part-time
19,18,"Andrews, Faith",faith.andrews@dreamhomes.nyc,8502102097,Dream Homes Newark,Full-time
20,7,"Paul, Ashley",ashley.paul@dreamhomes.nyc,2476450868,Dream Homes Stamford,Part-time
21,15,"Barry, Megan",megan.barry@dreamhomes.nyc,5004146924,Dream Homes Trenton,Part-time
22,16,"Munoz, Paul",paul.munoz@dreamhomes.nyc,3340990455,Dream Homes Syracuse,Part-time
23,2,"Smith, Joshua",joshua.smith@dreamhomes.nyc,8348302396,Dream Homes Hartford,Part-time
24,6,"Lopez, Katherine",katherine.lopez@dreamhomes.nyc,7536954312,Dream Homes Bridgeport,Full-time
25,5,"Collier, James",james.collier@dreamhomes.nyc,8910207432,Dream Homes Paterson,Full-time
26,10,"Davis, Ashley",ashley.davis@dreamhomes.nyc,7536137667,Dream Homes Jersey City,Part-time
27,1,"Campbell, Christopher",christopher.campbell@dreamhomes.nyc,7181898459,Dream Homes Jersey City,Full-time
28,1,"Rios, Mary",mary.rios@dreamhomes.nyc,3815139696,Dream Homes Newark,Part-time
29,20,"Miller, Danielle",danielle.miller@dreamhomes.nyc,2704096935,Dream Homes Bridgeport,Contract
30,1,"Mata, Miranda",miranda.mata@dreamhomes.nyc,3548944058,Dream Homes Syracuse,Full-time
31,5,"Morse, Randy",randy.morse@dreamhomes.nyc,9440056361,Dream Homes Albany,Part-time
32,8,"Brennan, Lindsay",lindsay.brennan@dreamhomes.nyc,1874437641,Dream Homes Bridgeport,Contract
33,20,"Barrett, Joy",joy.barrett@dreamhomes.nyc,1094857569,Dream Homes Hartford,Full-time
34,8,"Davis, Craig",craig.davis@dreamhomes.nyc,6049899224,Dream Homes Paterson,Part-time
35,3,"Jones, Sarah",sarah.jones@dreamhomes.nyc,2084145041,Dream Homes Rochester,Part-time
36,20,"Harris, Jennifer",jennifer.harris@dreamhomes.nyc,6208174824,Dream Homes Albany,Full-time
37,7,"Garrett, Raymond",raymond.garrett@dreamhomes.nyc,6151074162,Dream Homes Trenton,Contract
38,19,"Taylor, Richard",richard.taylor@dreamhomes.nyc,2298884290,Dream Homes Trenton,Full-time
39,15,"Johnson, Angelica",angelica.johnson@dreamhomes.nyc,954664256,Dream Homes Albany,Full-time
40,14,"Sims, Roberto",roberto.sims@dreamhomes.nyc,7472379241,Dream Homes Hartford,Part-time
41,9,"Thomas, Kenneth",kenneth.thomas@dreamhomes.nyc,4807747897,Dream Homes Albany,Full-time
42,8,"Norris, Joshua",joshua.norris@dreamhomes.nyc,727245606,Dream Homes Albany,Part-time
